Txhash,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0xce3030b5adf196f7ea81fbf6c33eeb964faccb6238607cc52dfcbfd31953819f","Transfer","19449181","2024-03-16 18:18:11","0x74dec05e5b894b0efec69cdf6316971802a2f9a1","","0x14d2d1e4f9564978b772944b02fc728627035384","","0.0852571 ETH","0.00089299"
"0x1c5d62766568740041456f249faf53c809a0f9732ac8f785c5eb544d01f9862e","Transfer","19449181","2024-03-16 18:18:11","0x74dec05e5b894b0efec69cdf6316971802a2f9a1","","0xd4434b38891bb99d05ba60b0424354c106ea350c","","0.04099407 ETH","0.00088249"
"0x988ad96f1a19753a3908d19650dddf4fd545a0a5777ad3c0aaa7caba90dfd28d","Transfer","19449181","2024-03-16 18:18:11","0x406c22b8740ae955b04fd11c2061e053807e2a69","BingX 9","0xea4699def7d4dd43f18a603304376149dfb3662a","","1.37057315 ETH","0.00088249"
"0xd8129f6f10f1852752f65ae95fbcf860466b4e95c9b1b837323dc8ec78bb3ea4","Transfer","19449181","2024-03-16 18:18:11","0x4b8958418151f32a7bedff29f64934fd1ab51d58","","0x8b7eb4a70be673ed3d91287b7f610e6210851c3d","","0.007 ETH","0.00088249"
"0x2cc266d693220d45e1eeedfe98ded25e5d7d7af3aadaca3a53ee8e78a5563618","Transfer","19449181","2024-03-16 18:18:11","0x557237026de5370dc50d60d8b2a343ad5dd97b32","","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","Shiba Inu: SHIB Token","0 ETH","0.00126049"
"0x9fff381f01da8983b1ad7efb3b13c5c0f717ded04dc307ed5660f82bfe148aba","Transfer","19449181","2024-03-16 18:18:11","0xc455e9fed928e5fd64e329cf6dd4d1b8edfaadf7","","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","Shiba Inu: SHIB Token","0 ETH","0.00126099"
"0x17a77e06749cb42b521d16f580afd14aaa2adc0de82b4e480150883a547948ec","Transfer","19449181","2024-03-16 18:18:11","0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1","Fund: 0xa29...de1","0x4e15361fd6b4bb609fa63c81a2be19d873717870","Fantom: FTM Token","0 ETH","0.00241546"
"0xf0cdbf010edddb54f52174957f35435d338a47156d54876e8e853bd52c1eb6bc","Transfer","19449181","2024-03-16 18:18:11","0xdb3a2f51a522ae520f2cf64c84ce6877464492ac","","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","Shiba Inu: SHIB Token","0 ETH","0.00126099"
"0xf6611d27f1a4c55c29b39574dc0bb88b3b9d4003d291a7dcb9525c43194a3b6c","Transfer","19449181","2024-03-16 18:18:11","0x9799ba42d4e46318f81b80710cb108fcb1268f1a","","0xb23d80f5fefcddaa212212f028021b41ded428cf","Prime Foundation: PRIME Token","0 ETH","0.00134239"
"0xd22d57dbd96e57b4bde271c9608191ceae24e5c678953e83518a31b5a93e54fb","Transfer","19449181","2024-03-16 18:18:11","0x8a875740903726552660067b8a85830ad829234c","","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","ENS: ENS Token","0 ETH","0.0014796"
